No.,Location,County,Elev (m),Date,Name or Citation,Sex,Age,Repro,Zone,Easting,Northing
71,Bear Creek,Boulder,1883,8/23/97,Adams,F,A,L,13,475761,4424529
72,Bear Creek,Boulder,1883,5/30/98,Adams,M,A,NS,13,475761,4424529
73,Bear Creek,Boulder,1883,5/30/98,Adams,M,A,NS,13,475761,4424529
74,Bear Creek,Boulder,1883,6/25/98,Adams,F,A,NLNP,13,475761,4424529
75,Bear Creek,Boulder,1883,6/25/98,Adams,F,A,L,13,475761,4424529
76,Bear Creek,Boulder,1883,6/25/98,Adams,M,A,NS,13,475761,4424529
77,Bear Creek,Boulder,1883,6/25/98,Adams,M,A,NS,13,475761,4424529
78,Bear Creek,Boulder,1883,6/25/98,Adams,M,A,NS,13,475761,4424529
79,Bear Creek,Boulder,1883,8/8/98,Adams,F,J,NPNL,13,475761,4424529
80,Bear Creek,Boulder,1883,8/8/98,Adams,F,A,L,13,475761,4424529
81,Bear Creek,Boulder,1883,8/8/98,Adams,F,A,L,13,475761,4424529
82,Bear Creek,Boulder,1883,8/8/98,Adams,F,A,L,13,475761,4424529
83,Bear Creek,Boulder,1883,8/8/98,Adams,F,A,L,13,475761,4424529
84,Bear Creek,Boulder,1883,8/8/98,Adams,F,J,NLNP,13,475761,4424529
85,Bear Creek,Boulder,1883,8/8/98,Adams,F,J,NLNP,13,475761,4424529
86,Bear Creek,Boulder,1883,8/8/98,Adams,M,J,NS,13,475761,4424529
87,Bear Creek,Boulder,1883,8/8/98,Adams,M,A,S,13,475761,4424529
88,Bear Creek,Boulder,1883,5/26/99,Adams,F,A,L,13,475761,4424529
89,Bear Creek,Boulder,1883,5/26/99,Adams,F,A,L,13,475761,4424529
90,Bear Creek,Boulder,1883,5/26/99,Adams,M,A,NS,13,475761,4424529
91,Bear Creek,Boulder,1883,5/26/99,Adams,M,A,NS,13,475761,4424529
92,Bear Creek,Boulder,1883,5/26/99,Adams,F,A,P,13,475761,4424529
93,Bear Creek,Boulder,1883,7/5/99,Adams,F,A,P,13,475761,4424529
94,Bear Creek,Boulder,1883,7/5/99,Adams,F,A,L,13,475761,4424529
95,Bear Creek,Boulder,1883,7/5/99,Adams,F,A,L,13,475761,4424529
96,Bear Creek,Boulder,1883,7/5/99,Adams,M,A,NS,13,475761,4424529
97,Bear Creek,Boulder,1883,8/24/99,Adams,F,A,PL,13,475761,4424529
98,Bear Creek,Boulder,1883,8/24/99,Adams,M,A,S,13,475761,4424529
99,Bear Creek,Boulder,1883,8/24/99,Adams,M,A,S,13,475761,4424529
100,Bear Creek,Boulder,1883,8/24/99,Adams,M,A,NS,13,475761,4424529
101,Bear Creek,Boulder,1883,8/24/99,Adams,M,A,S,13,475761,4424529
102,Bear Creek,Boulder,1883,6/17/01,Adams,M,A,NS,13,475761,4424529
103,Bear Canyon,Boulder,NL,6/23/04,Kiser,F,A,P,13,475761,4424529
104,Bear Canyon,Boulder,NL,6/23/04,Kiser,M,A,NS,13,475761,4424529
105,Bear Canyon,Boulder,NL,6/23/04,Kiser,M,A,NS,13,475761,4424529
106,Bear Canyon,Boulder,NL,6/23/04,Kiser,M,A,NS,13,475761,4424529
107,Bear Canyon,Boulder,NL,8/4/04,Kiser,F,A,L,13,475761,4424529
108,Bear Canyon,Boulder,NL,8/4/04,Kiser,F,A,L,13,475761,4424529
109,Bear Canyon,Boulder,NL,7/12/05,Kiser,F,A,L,13,475761,4424529
110,Bear Canyon,Boulder,NL,8/6/05,Kiser,F,A,L,13,475761,4424529
111,Bear Canyon,Boulder,NL,8/6/05,Kiser,F- SA,A,NL,13,475761,4424529
112,Bear Canyon,Boulder,NL,8/6/05,Kiser,F- SA,A,NL,13,475761,4424529
113,Bear Canyon,Boulder,NL,8/6/05,Kiser,SA,A,NL,13,475761,4424529
114,Bear Canyon,Boulder,NL,6/7/06,Kiser,F,A,L,13,475761,4424529
115,Bear Canyon,Boulder,NL,6/7/06,Kiser,F,A,NR,13,475761,4424529
116,Bear Canyon,Boulder,NL,6/7/06,Kiser,F,A,P,13,475761,4424529
117,Bear Canyon,Boulder,NL,6/7/06,Kiser,F,A,P,13,475761,4424529
118,Bear Canyon,Boulder,NL,6/7/06,Kiser,F,A,P,13,475761,4424529
119,Bear Canyon,Boulder,NL,7/13/06,Kiser,F,A,NR,13,475761,4424529
120,Bear Canyon,Boulder,NL,7/13/06,Kiser,M,A,NS,13,475761,4424529
121,Bear Creek Pond,Boulder,1883,7/14/08,Adams,F,A,NR,13,475761,4424529
122,Bear Creek Pond,Boulder,1883,7/14/09,Adams,F,A,P,13,475761,4424529
123,Boulder CO OS Barns,Boulder,,8/10/95,Ingersoll,F,A,L,,,
124,Boulder Mountain J3,Boulder,2048,9/27/01,Piaggio,M,A,TENL,13,468650,4439680
125,Buckingham Park Creek,Boulder,1790,7/14/96,Adams,F,A,L,13,473832,4440131
126,Buckingham Park Creek,Boulder,1790,7/14/96,Adams,F,A,L,13,473832,4440131
127,Buckingham Park Creek,Boulder,1790,7/14/96,Adams,F,A,L,13,473832,4440131
128,Buckingham Park Creek,Boulder,1790,7/14/96,Adams,F,A,L,13,473832,4440131
129,Buckingham Park Creek,Boulder,1790,1996,Adams,F,,,13,473832,4440131
130,Dakota Ridge,Boulder,,7/31/01,Adams,F,A,L,,,
131,Der Zerkle,Boulder,2012,,Adams,F,,,13,475448,4424740
132,Douglas Fir 1,Boulder,,6/17/99,Adams,M,A,NS,,,
133,Douglas Fir 1,Boulder,,6/17/99,Adams,F,A,P,,,
134,Douglas Fir 10,Boulder,,8/7/99,Adams,M,A,NS,,,
135,Douglas Fir 3,Boulder,,8/6/99,Adams,M,A,NS,,,
136,Douglas Fir 4,Boulder,,8/6/99,Adams,F,A,NLNP,,,
137,Douglas Fir 5,Boulder,,8/6/99,Adams,M,J,NS,,,
138,Douglas Fir 6,Boulder,,8/7/99,Adams,F,A,PL,,,
139,Douglas Fir 7,Boulder,,8/7/99,Adams,F,J,NLNP,,,
140,Douglas Fir 8,Boulder,,8/7/99,Adams,F,J,NLNP,,,
141,Douglas Fir 9,Boulder,,8/7/99,Adams,M,A,NS,,,
142,Eldorado Mtn. Roost,Boulder,2022,,Adams,F,,,13,475860,4417570
143,Geer Canyon,Boulder,1830,8/12/05,Kiser,F- SA,A,NLNP,13,473970,4443780
144,Geer Canyon,Boulder,1830,8/15/05,Kiser,F,A,PL,13,473970,4443780
145,Geer Canyon,Boulder,1830,6/14/07,Adams,F,A,NLNP,13,473970,4443780
146,Geer Canyon,Boulder,1830,6/14/07,Adams,F,A,NLNP,13,473970,4443780
147,Geer Canyon,Boulder,1830,6/14/07,Adams,F,A,P,13,473970,4443780
148,Geer Canyon,Boulder,1830,6/25/07,Adams,M,A,S,13,473970,4443780
149,Geer Canyon Road,Boulder,1830,8/6/03,Adams,M,J,S,13,473970,4443780
150,Geer Canyon Road,Boulder,1830,8/6/03,Adams,F,A,L,13,473970,4443780
151,Geer Canyon roost,Boulder,1875,,Adams,,,,13,473900,4443940
152,Golden Age CG17,Boulder,2097,6/12/95,BIMP,M,A,UNKN,13,470170,4439900
153,Good Friday ST-19,Boulder,2504,6/10/97,BIMP,M,A,NONB,13,462126,4431143
154,Good Friday ST-8,Boulder,2379,8/17/04,BIMP,M,A,NONB,13,462878,4431358
155,Gregory Canyon Pond,Boulder,1820,7/13/98,Adams,M,A,NS,13,475150,4427620
156,Gregory Canyon Pond,Boulder,1820,"7/13/19
98",Adams,F,A,L,13,475150,4427620
157,Greg. Can Pond,Boulder,1820,7/13/98,Adams,M,A,NS,13,475150,4427620
158,Gregory Canyon Pond,Boulder,1820,7/13/98,Adams,F,A,NLNP,13,475150,4427620
159,Gregory Canyon Pond,Boulder,1820,8/5/98,Adams,M,J,NS,13,475150,4427620
160,Gregory Canyon Pond,Boulder,1820,8/5/98,Adams,F,A,L,13,475150,4427620
161,Gregory Canyon Pond,Boulder,1820,8/20/98,Adams,F,A,PL,13,475150,4427620
162,Gregory Canyon Pond,Boulder,1820,8/20/98,Adams,M,J,NS,13,475150,4427620
163,Gregory Canyon Roost,Boulder,1820,8/6/98,Adams,F,A,UNK,13,475150,4427620
164,Gregory Canyon,Boulder,1820,6/14/06,Kiser,M,A,NS,13,475150,4427620
165,Gregory Canyon,Boulder,1820,7/16/06,Kiser,F,A,L,13,475150,4427620
166,Greg. Canyon,Boulder,1820,6/22/09,Hayes,M,A,NR,13,475150,4427620
167,Harmon Cave,Boulder,2051,,,F,,,13,475590,4424130
168,Ingersol Quarry,Boulder,2073,8/31/02,Adams,F,A,L,13,474093,4447142
169,Ingersol Quarry,Boulder,2073,8/31/02,Adams,F,A,L,13,474093,4447142
170,Ingersol Quarry,Boulder,2073,8/31/02,Adams,F,A,L,13,474093,4447142
171,Ingersol Quarry,Boulder,2073,8/31/02,Adams,F,A,L,13,474093,4447142
172,Ingersol Quarry,Boulder,2073,7/28/03,Adams,M,A,NS,13,474093,4447142
173,Ingersol Quarry,Boulder,2073,7/28/03,Adams,F,A,L,13,474093,4447142
174,Ingersol Quarry,Boulder,2073,7/28/03,Adams,M,A,NS,13,474093,4447142
175,Ingersol Quarry,Boulder,2073,7/10/04,Adams,M,A,NS,13,474093,4447142
176,Ingersol Quarry,Boulder,2073,7/10/04,Adams,M,A,NS,13,474093,4447142
177,Ingersol Quarry,Boulder,2073,8/12/04,Adams,F,A,L,13,474093,4447142
178,Ingersol Quarry,Boulder,2073,8/12/04,Adams,F,A,L,13,474093,4447142
179,Ingersol Quarry,Boulder,2073,9/11/04,Adams,F,A,PL,13,474093,4447142
180,Ingersol Quarry,Boulder,2073,7/28/05,Adams,M,A,S,13,474093,4447142
181,Ingersol Quarry,Boulder,2073,7/28/05,Adams,M,A,NS,13,474093,4447142
182,Ingersol Quarry,Boulder,2073,7/28/05,Adams,M,A,NS,13,474093,4447142
183,Ingersol Quarry,Boulder,2073,8/18/05,Adams,M,A,S,13,474093,4447142
184,Ingersol Quarry,Boulder,2073,8/18/05,Adams,F,A,PL,13,474093,4447142
185,Ingersol Quarry,Boulder,2073,8/18/05,Adams,F,A,PL,13,474093,4447142
186,Ingersol Quarry,Boulder,2073,8/18/05,Adams,F,A,PL,13,474093,4447142
187,Ingersol Quarry,Boulder,2073,9/4/05,Adams,F,J,NLNP,13,474093,4447142
188,Ingersol Quarry,Boulder,2073,6/24/06,Adams,M,A,NS,13,474093,4447142
189,Ingersol Quarry,Boulder,2073,6/24/06,Adams,M,A,NS,13,474093,4447142
190,Ingersol Quarry,Boulder,2073,7/19/06,Adams,F,A,L,13,474093,4447142
191,Ingersol Quarry,Boulder,2073,7/19/06,Adams,F,A,L,13,474093,4447142
192,Ingersol Quarry,Boulder,2073,7/19/06,Adams,M,A,NS,13,474093,4447142
193,Ingersol Quarry,Boulder,2073,7/19/06,Adams,M,A,NS,13,474093,4447142
194,Ingersol Quarry,Boulder,2073,6/13/07,Adams,F,A,NLNP,13,474093,4447142
195,Ingersol Quarry,Boulder,2073,6/13/07,Adams,M,A,NS,13,474093,4447142
196,Ingersol Quarry,Boulder,2073,6/13/07,Adams,M,A,NS,13,474093,4447142
197,Ingersol Quarry,Boulder,2073,6/26/07,Adams,M,A,S,13,474093,4447142
198,Ingersol Quarry,Boulder,2073,8/8/07,Adams,M,A,NS,13,474093,4447142
199,Ingersol Quarry,Boulder,2073,8/8/07,Adams,F,A,PL,13,474093,4447142
200,Ingersol Quarry,Boulder,2073,8/20/07,Adams,M,A,NS,13,474093,4447142
201,Ingersol Quarry,Boulder,2073,8/20/07,Adams,M,A,S,13,474093,4447142
202,Ingersol Quarry,Boulder,2073,9/21/07,Adams,M,A,NS,13,474093,4447142
203,Ingersol Quarry,Boulder,2073,9/21/07,Adams,M,A,NS,13,474093,4447142
204,Ingersol Quarry,Boulder,2073,10/4/07,Adams,M,A,S,13,474093,4447142
205,Ingersol Quarry,Boulder,2073,7/10/08,Adams,F,A,NR,13,474093,4447142
206,Ingersol Quarry,Boulder,2073,7/17/09,Adams,M,A,NS,13,474093,4447142
207,Ingersol Quarry,Boulder,2073,7/17/09,Adams,M,A,NS,13,474093,4447142
208,Ingersol Quarry,Boulder,2073,7/17/09,Adams,M,A,NS,13,474093,4447142
209,Ingersol Quarry,Boulder,2073,7/17/09,Adams,M,A,NS,13,474093,4447142
210,Ingersol Quarry,Boulder,2073,7/17/09,Adams,F,A,L,13,474093,4447142
211,Ingersol Quarry,Boulder,2073,8/12/09,Adams,F,A,L,13,474093,4447142
212,Ingersol Quarry,Boulder,2073,8/12/09,Adams,M,A,NS,13,474093,4447142
213,Ingersol Quarry,Boulder,2073,8/12/09,Adams,M,A,NS,13,474093,4447142
214,Ingersol Quarry,Boulder,2073,8/12/09,Adams,M,A,NS,13,474093,4447142
215,Ingersol Quarry,Boulder,2073,8/12/09,Adams,M,A,NS,13,474093,4447142
216,Ingersol Quarry,Boulder,2073,8/12/09,Adams,M,A,NS,13,474093,4447142
217,Ingersol Quarry,Boulder,2073,7/12/10,Adams,M,A,NS,13,474093,4447142
218,Ingersol Quarry,Boulder,2073,8/12/10,Adams,F,A,L,13,474093,4447142
219,Lindsey Pond,Boulder,1784,8/12/09,Adams,M,A,L,13,477887,4419450
220,Lindsey Pond,Boulder,1784,7/21/96,Adams,F,A,L,13,477887,4419450
221,Lindsey Pond,Boulder,1784,7/25/99,Adams,F,A,L,13,477887,4419450
222,Lindsey Pond,Boulder,1784,7/25/99,Adams,F,A,L,13,477887,4419450
223,Lindsey Pond,Boulder,1784,7/25/99,Adams,F,A,L,13,477887,4419450
224,Lindsey Pond,Boulder,1784,7/25/99,Adams,F,A,L,13,477887,4419450
225,Lindsey Pond,Boulder,1784,7/25/99,Adams,F,A,L,13,477887,4419450
226,Lindsey Pond,Boulder,1784,7/25/99,Adams,F,A,L,13,477887,4419450
227,Lindsey Pond,Boulder,1784,7/7/04,Kiser,F,A,NR,13,477887,4419450
228,Lindsey Pond,Boulder,1784,7/2/07,Hayes/Adams,F,A,P,13,477887,4419450
229,Long Canyon,Boulder,2066,7/11/04,Kiser,F,A,L,13,473740,4426880
230,Long Canyon,Boulder,2066,7/11/04,Kiser,F,A,L,13,473740,4426880
231,Long Canyon,Boulder,2066,6/13/06,Kiser,M,A,NS,13,473740,4426880
232,Long Canyon,Boulder,2066,6/29/06,Kiser,F,A,P,13,473740,4426880
234,Long Canyon,Boulder,2066,6/29/06,Kiser,M,A,NS,13,473740,4426880
235,Long Canyon,Boulder,2066,7/28/08,Adams,M,A,NS,13,473740,4426880
236,Long Canyon,Boulder,2066,7/28/08,Adams,F,A,PL,13,473740,4426880
237,Long Canyon,Boulder,2066,7/6/09,Adams/Hayes,M,A,NS,13,473740,4426880
238,Long Canyon Roost,Boulder,2080,,Adams,F,,,13,474900,4427240
239,Lower Geer,Boulder,1833,7/24/06,Adams,F,A,L,13,474170,4443810
240,Lower Geer,Boulder,1833,7/24/06,Adams,F,A,L,13,474170,4443810
241,Lower Geer,Boulder,1833,7/24/06,Adams,F,A,L,13,474170,4443810
242,Lower Geer,Boulder,1833,7/24/06,Adams,F,A,NLNP,13,474170,4443810
243,Lower Geer,Boulder,1833,7/24/06,Adams,F,A,L,13,474170,4443810
244,Lower Geer,Boulder,1833,5/20/07,Adams,F,A,P,13,474170,4443810
245,Lower Geer Canyon,Boulder,1833,7/29/02,Adams,F,A,L,13,474170,4443810
246,Lower Geer Canyon,Boulder,1833,7/29/02,Adams,M,A,NS,13,474170,4443810
247,Lower Geer Canyon,Boulder,1833,7/29/02,Adams,M,A,NS,13,474170,4443810
248,Lower Geer Canyon,Boulder,1833,8/4/02,Adams,F,A,L,13,474170,4443810
249,Lower Geer Canyon,Boulder,1833,8/4/02,Adams,F,A,L,13,474170,4443810
250,Lower Geer Canyon,Boulder,1833,8/4/02,Adams,M,J,NS,13,474170,4443810
251,Lower Geer Canyon,Boulder,1833,8/4/02,Adams,F,A,PL,13,474170,4443810
252,Lower Geer Canyon,Boulder,1833,8/4/02,Adams,F,J,NLNP,13,474170,4443810
253,Lower Geer Canyon,Boulder,1833,8/4/02,Adams,F,J,NLNP,13,474170,4443810
254,Lower Geer Canyon,Boulder,1833,8/24/04,Adams,F,J,NLNP,13,474170,4443810
256,Lower Geer Canyon,Boulder,1833,7/13/06,Adams,F,A,L,13,474170,4443810
257,Lower Geer Canyon,Boulder,1833,7/13/06,Adams,F,A,L,13,474170,4443810
258,Lower Geer Canyon,Boulder,1833,7/13/26,Adams,F,A,L,13,474170,4443810
259,Lower Geer Canyon,Boulder,1833,7/13/06,Adams,F,A,L,13,474170,4443810
260,Lower Geer Canyon,Boulder,1833,7/13/06,Adams,F,A,L,13,474170,4443810
261,Lower Geer Canyon,Boulder,1833,7/13/06,Adams,F,A,L,13,474170,4443810
262,Lower Geer Canyon,Boulder,1833,7/13/06,Adams,F,A,L,13,474170,4443810
263,Lower Geer Canyon,Boulder,1833,7/13/06,Adams,M,A,NS,13,474170,4443810
264,Lower Geer Canyon,Boulder,1833,7/13/06,Adams,F,A,L,13,474170,4443810
265,Lower Geer Canyon,Boulder,1833,7/13/06,Adams,F,A,L,13,474170,4443810
266,Lower Geer Canyon,Boulder,1833,7/13/06,Adams,F,A,L,13,474170,4443810
267,Lower Geer Canyon,Boulder,1833,7/13/06,Adams,F,A,L,13,474170,4443810
268,Lower Geer Canyon,Boulder,1833,7/15/06,Adams,F,A,UNK,13,474170,4443810
269,Lower Geer Canyon,Boulder,1833,7/15/06,Adams,M,A,NS,13,474170,4443810
270,Lower Geer Canyon,Boulder,1833,7/15/06,Adams,F,A,L,13,474170,4443810
271,Lower Geer Canyon,Boulder,1833,7/15/06,Adams,F,A,L,13,474170,4443810
272,Lower Geer Canyon,Boulder,1833,7/15/06,Adams,F,A,NLNP,13,474170,4443810
273,Lower Geer Canyon,Boulder,1833,7/15/06,Adams,F,A,L,13,474170,4443810
274,Lower Geer Canyon,Boulder,1833,7/15/06,Adams,F,A,L,13,474170,4443810
275,Lower Geer Canyon,Boulder,1833,7/15/06,Adams,F,A,NLNP,13,474170,4443810
276,Lower Geer Canyon,Boulder,1833,7/18/06,Adams,F,A,L,13,474170,4443810
277,Lower Geer Canyon,Boulder,1833,7/18/06,Adams,M,A,NS,13,474170,4443810
278,Lower Geer Canyon,Boulder,1833,7/18/06,Adams,F,A,NLNP,13,474170,4443810
279,Lower Geer Canyon (HVR),Boulder,1833,7/26/06,Hayes,F,A,NR,13,474170,4443810
280,Lower Geer Canyon (HVR),Boulder,1833,7/26/06,Hayes,F,A,L,13,474170,4443810
281,Lower Geer Canyon (HVR),Boulder,1833,7/26/06,Hayes,F,A,L,13,474170,4443810
282,Lower Geer Canyon (HVR),Boulder,1833,8/8/06,Hayes,M,J,,13,474170,4443810
283,Lower Geer Canyon (HVR),Boulder,1833,8/8/06,Hayes,M,A,NS,13,474170,4443810
284,Lower Long Canyon,Boulder,1833,6/1/01,Adams,F,A,P,13,473740,4426880
285,Lower Long Canyon,Boulder,1833,7/27/01,Adams,F,A,PL,13,473740,4426880
286,Maiden I,Boulder,,7/29/01,Adams,M,A,NS,,,
287,Maiden I,Boulder,,7/29/01,Adams,M,A,NS,,,
288,Mallory Cave,Boulder,2083,,Adams,F,,,13,475333,4424705
289,Middle Geer Canyon,Boulder,1830,8/2/03,Adams,M,J,NS,13,473950,4443790
290,Middle Geer Canyon,Boulder,1830,8/2/03,Adams,M,J,NS,13,473950,4443790
291,Middle Geer Canyon,Boulder,1830,8/2/03,Adams,M,J,NS,13,473950,4443790
292,Middle Geer Canyon,Boulder,1830,8/2/03,Adams,F,J,NLNP,13,473950,4443790
293,Middle Geer Canyon,Boulder,1830,8/2/03,Adams,F,J,NLNP,13,473950,4443790
294,Middle Geer Canyon,Boulder,1830,8/13/03,Adams,F,A,L,13,473950,4443790
295,Middle Geer Canyon,Boulder,1830,8/13/03,Adams,M,J,NS,13,473950,4443790
296,Middle Geer Canyon,Boulder,1830,8/13/03,Adams,M,J,NS,13,473950,4443790
297,Middle Geer Canyon,Boulder,1830,8/13/03,Adams,M,J,NS,13,473950,4443790
298,Middle Geer Canyon,Boulder,1830,8/13/03,Adams,M,J,NS,13,473950,4443790
299,Middle Geer Canyon,Boulder,1830,6/7/04,Adams/Kiser,F,A,P,13,473950,4443790
300,Middle Geer Canyon,Boulder,1830,6/7/04,Adams/Kiser,M,A,P,13,473950,4443790
301,Middle Geer Canyon,Boulder,1830,6/7/04,Adams,F,A,P,13,473950,4443790
302,Middle Geer Canyon,Boulder,1830,6/7/04,Adams,F,A,P,13,473950,4443790
303,Middle Geer,Boulder,1830,7/6/04,Adams,F,A,P,13,473950,4443790
304,Middle Geer Canyon,Boulder,1830,7/8/04,Kiser,F,A,L,13,473950,4443790
305,Middle Geer Canyon,Boulder,1830,7/9/04,Adams,F,A,L,13,473950,4443790
306,Middle Geer Canyon,Boulder,1830,7/9/04,Kiser,F,A,L,13,473950,4443790
307,Middle Geer Canyon,Boulder,1830,8/12/05,Adams,F,J,NLNP,13,473950,4443790
308,Middle Geer Canyon,Boulder,1830,8/25/05,Kiser,F,SA,NR,13,473950,4443790
309,Middle Geer Canyon,Boulder,1830,8/12/05,Adams,F,A,PL,13,473950,4443790
310,Middle Geer Canyon,Boulder,1830,9/13/05,Adams,M,J,NS,13,473950,4443790
311,Middle Geer Canyon,Boulder,1830,9/13/05,Adams,F,A,NLNP,13,473950,4443790
312,Mt. Sanitas,Boulder,1896,,Adams,F,,,13,474130,4431370
